,City,Latitude,Longitude
0,Bangalore,12.9791198,77.5912997
1,Hyderabad,17.38878595,78.46106473453146
2,Kolkata,22.5726723,88.3638815
3,Delhi,28.6517178,77.2219388
4,Bhopal,23.2584857,77.401989
5,Thiruvananthapuram,8.5241122,76.9360573
6,Lucknow,26.8381,80.9346001
7,Chennai,13.0801721,80.2838331
8,Srinagar,34.0747444,74.8204443
9,Gandhinagar,23.2232877,72.6492267
10,Mumbai,18.9387711,72.8353355
11,Ahmedabad,23.0216238,72.5797068
12,Pune,18.521428,73.8544541
13,Nagpur,21.1498134,79.0820556
14,Jaipur,26.916194,75.820349
15,Chandigarh,30.7194022,76.7646552
16,Guwahati,26.1805978,91.753943
17,Indore,22.7203616,75.8681996
18,Aurangabad,19.877263,75.3390241
19,Patna,25.6093239,85.1235252
